qt_cards,cn,exp
1,325,neo
1,348,neo
1,202,neo
1,313,neo
1,024,neo
1,011,neo
1,012,neo
1,036,neo
1,209,neo
2,142,neo
1,152,neo
1,223,neo
1,168,neo
1,263,neo
1,323,neo
2,322,neo
1,324,neo
1,170,neo
1,150,neo
1,029,neo
1,113,neo
1,253,neo
1,247,neo
1,129,neo
1,009,neo
1,260,neo
1,261,neo
1,022,neo
1,254,neo
1,239,neo
1,220,neo
1,117,neo
1,270,neo
1,005,neo
1,255,neo
1,016,neo
1,344,neo
1,242,neo
1,122,neo
1,241,neo
1,006,neo
1,117,neo
1,160,neo
1,148,neo
2,167,neo
1,149,neo
1,171,neo
1,063,neo
1,081,neo
1,046,neo
1,195,neo
1,183,neo
1,182,neo
2,310,neo
1,019,neo
1,001,neo
1,309,neo
1,010,neo
2,108,neo
1,137,neo
1,154,neo
1,166,neo
1,164,neo
1,076,neo
1,075,neo
1,085,neo
1,048,neo
1,053,neo
1,192,neo
1,176,neo
1,249,neo
1,031,neo
1,201,neo
1,280,neo
1,217,neo
1,230,neo
1,408,neo
1,181,neo
1,029,neo
1,191,neo
1,391,neo
1,273,neo
1,0127,mom
1,0126,mom
1,0027,mom
1,0238,mom
1,0041,mom
1,0103,mom
1,0148,mom
1,0170,mom
1,0178,mom
1,0244,mom
1,0334,mom
1,0186,mom
1,0206,mom
1,0193,mom
1,0196,mom
1,0029,mom
1,0044,mom
1,0018,mom
1,0210,mom
1,0104,mom
1,0131,mom
1,0163,mom
1,0140,mom
1,0153,mom
1,0060,mom
1,0074,mom
1,0056,mom
1,0087,mom
1,0068,mom
1,0079,mom
1,0183,mom
1,0042,mom
1,0015,mom
1,0048,mom
1,0106,mom
1,0096,mom
1,0123,mom
1,0144,mom
1,0062,mom
1,0236,mom
1,0188,mom
1,0151,mom
1,0248,mom
1,0253,mom
1,0072,mom
1,0078,mom
1,0274,mom
1,0235,mom
1,0149,mom
1,0197,mom
1,0215,mom
1,0203,mom
1,036,one
1,028,one
1,135,one
1,155,one
1,210,one
1,292,one
1,295,one
1,161,one
1,185,one
1,157,one
1,168,one
1,157,one
1,004,one
1,223,one
1,028,one
1,007,one
1,286,one
1,003,one
1,005,one
1,234,one
1,194,one
1,183,one
1,193,one
1,103,one
1,289,one
1,130,one
1,141,one
1,120,one
1,133,one
1,287,one
1,066,one
1,054,one
1,059,one
1,052,one
2,177,one
1,181,one
1,015,one
1,235,one
1,098,one
1,145,one
1,132,one
1,050,one
1,064,one
1,072,one
1,070,one
1,069,one
2,068,one
1,125,one
1,238,one
1,247,one
1,243,m19
1,026,m19
1,112,m19
1,101,m19
1,118,m19
1,152,m19
1,146,m19
1,162,m19
1,164,m19
1,071,m19
1,083,m19
1,204,m19
1,191,m19
1,012,m19
1,258,m19
1,0017,lci
1,0128,lci
1,0298,lci
1,0076,lci
1,0052,lci
1,0184,lci
1,0125,lci
1,0002,lci
1,0116,lci
1,0144,lci
1,0071,lci
1,0020,wot
1,0021,wot
1,0016,wot
1,0002,wot
1,0061,wot
1,031,nec
1,003,nec
1,033,nec
1,330,mh2
1,167,mh2
1,097,kld
1,0055,mul
1,0037,mul
1,0043,mul
1,0026,mul
1,0035,woe
1,0241,woe
1,0296,woe
1,0058,woe
1,0070,woe
1,0171,woe
1,0050,woc
1,235,afr
1,160,afr
1,041,afr
1,186,afr
1,062,afr
1,151,m21
2,095,grn
1,138,dtk
1,086,dtk
1,134,dtk
1,215,vow
2,150,mid
1,253,snc
1,352,snc
1,038,gs1


